LCU,LSU,MXCU,RC0,RC1,RC2,RC3
"LOR R0, ZERO, ZERO","LOR R0, SRF(0), ZERO/LD.VWR SRF",NOP,NOP,NOP,NOP,NOP
NOP,"LOR R1, SRF(1), ZERO/NOP",NOP,NOP,NOP,NOP,NOP
NOP,"LOR R2, SRF(2), ZERO/NOP",NOP,NOP,NOP,NOP,NOP
"SADD R0, R0, ONE","LOR R7, R0, ZERO/NOP","LOR R1, ZERO, ZERO",NOP,NOP,NOP,NOP
NOP,"LOR R7, R2, ZERO/LD.VWR VWR_B",NOP,NOP,NOP,NOP,NOP
"LOR R1, ZERO, ZERO","LOR R7, R1, ZERO/LD.VWR VWR_C","SADD R2, ONE, ONE",NOP,NOP,NOP,NOP
"BEQ ZERO, ZERO, 11",NOP/LD.VWR VWR_A,NOP,NOP,NOP,NOP,NOP
NOP,NOP/NOP,"SSUB R2, R2, ONE",NOP,NOP,NOP,NOP
"BLT R2, R1, 20",NOP/NOP,"SADD R0, R0, R1","SMUL R1, VWR_A, R0","SMUL R1, VWR_A, R0","SMUL R1, VWR_A, R0","SMUL R1, VWR_A, R0"
"BGEPD R2, ZERO, 8",NOP/NOP,"SADD R0, R0, R2","SADD VWR_C, VWR_C, R1","SADD VWR_C, VWR_C, R1","SADD VWR_C, VWR_C, R1","SADD VWR_C, VWR_C, R1"
"SADD R1, R1, ONE",NOP/NOP,"SADD R1, R1, ONE",NOP,NOP,NOP,NOP
"LOR R2, LAST, ZERO",NOP/NOP,"LOR R0, R1, ZERO",NOP,NOP,NOP,NOP
NOP,NOP/NOP,NOP,"LOR R0, VWR_B, ZERO","LOR R0, VWR_B, ZERO","LOR R0, VWR_B, ZERO","LOR R0, VWR_B, ZERO"
"BLT R1, SRF(3), 7",NOP/NOP,"LOR R0, ZERO, ZERO","LOR VWR_B, ZERO, ZERO","LOR VWR_B, ZERO, ZERO","LOR VWR_B, ZERO, ZERO","LOR VWR_B, ZERO, ZERO"
"BGEPD R2, ZERO, 14",NOP/NOP,"SADD R0, R0, ONE","SRA VWR_C, VWR_C, SRF(5)","SRA VWR_C, VWR_C, SRF(5)","SRA VWR_C, VWR_C, SRF(5)","SRA VWR_C, VWR_C, SRF(5)"
"LOR R1, ZERO, ZERO","SADD R1, R1, TWO/STR.VWR VWR_C","LOR R0, ZERO, ZERO",NOP,NOP,NOP,NOP
